sensor_image,object_label,pose_x,pose_y,pose_z,pose_Rx,pose_Ry,pose_Rz,shear_x,shear_y,shear_z,shear_Rx,shear_Ry,shear_Rz,object_x,object_y,object_z,object_Rx,object_Ry,object_Rz
image_1.png,edge,0.0,-1.0266348309571178,3.3498288016174063,0.0,0.0,-179.72110219112523,2.5812541603294434,2.9091940133184746,0.0,0.0,0.0,-3.891408239465295,0,0,0,0,0,0
image_2.png,edge,0.0,2.332637930948831,3.2140604832592135,0.0,0.0,-179.62415675732896,0.03318511363734533,-2.174985550023807,0.0,0.0,0.0,-3.3936414819042984,0,0,0,0,0,0
image_3.png,edge,0.0,4.025462226425617,3.0912745975589413,0.0,0.0,-179.60428240757815,-3.2298333686899316,-4.722035438584362,0.0,0.0,0.0,-1.7189439051121704,0,0,0,0,0,0
image_4.png,edge,0.0,-1.9771629221865812,4.386482877007273,0.0,0.0,-179.5992012764756,3.3253650535900814,-3.545028414899617,0.0,0.0,0.0,2.612478104935251,0,0,0,0,0,0
image_5.png,edge,0.0,-2.7251046281395133,4.385003497507143,0.0,0.0,-179.5614895665274,0.1682478060036825,1.492630102425922,0.0,0.0,0.0,-2.940958378030476,0,0,0,0,0,0
image_6.png,edge,0.0,3.3064424676116246,4.2317671719534165,0.0,0.0,-179.4861447939619,4.269195441445085,2.375344495818955,0.0,0.0,0.0,-1.7494749020048683,0,0,0,0,0,0
image_7.png,edge,0.0,-0.7747296925132234,3.289882588314562,0.0,0.0,-179.4814320643965,4.718065500461332,3.8764522597740143,0.0,0.0,0.0,2.6581978719806116,0,0,0,0,0,0
image_8.png,edge,0.0,5.924534393536781,3.534075026365409,0.0,0.0,-179.36202866863752,1.7512984895506358,0.43073373948035254,0.0,0.0,0.0,2.4934727657505356,0,0,0,0,0,0
image_9.png,edge,0.0,-5.022817973203944,4.605701380821665,0.0,0.0,-179.27609411668027,-1.8789989201266377,2.428922205301652,0.0,0.0,0.0,3.4861717932816525,0,0,0,0,0,0
image_10.png,edge,0.0,-3.893629945934555,4.77256096455306,0.0,0.0,-179.25896194900977,0.7568377089067821,3.7187923029060457,0.0,0.0,0.0,-1.0566786546702667,0,0,0,0,0,0
image_11.png,edge,0.0,1.6532357503810484,4.0315504999222425,0.0,0.0,-179.20207401526147,-1.2871353096733538,-0.7952811643274815,0.0,0.0,0.0,-3.2835416751254334,0,0,0,0,0,0
image_12.png,edge,0.0,2.710816807099807,4.349143222573868,0.0,0.0,-179.1055381177917,-2.3099596890589904,3.5915920616230537,0.0,0.0,0.0,-2.828996766044365,0,0,0,0,0,0
image_13.png,edge,0.0,-0.16833663056561754,4.432584396528291,0.0,0.0,-179.06963862632995,-0.45820224642680607,0.7191534816195411,0.0,0.0,0.0,-3.956553935512842,0,0,0,0,0,0
image_14.png,edge,0.0,-1.0935836055666428,4.7163378304998025,0.0,0.0,-179.03201159528007,-0.8622287522642127,4.034830343868039,0.0,0.0,0.0,0.5423068474955342,0,0,0,0,0,0
image_15.png,edge,0.0,2.7406435450800615,3.7892652802746625,0.0,0.0,-179.00936620123315,1.1058927142682347,-3.607888251628385,0.0,0.0,0.0,-4.955624924404144,0,0,0,0,0,0
image_16.png,edge,0.0,-0.043720810397816834,3.940926879646824,0.0,0.0,-178.99473114028908,3.5361765203714697,-1.462331091784257,0.0,0.0,0.0,-4.757587563997476,0,0,0,0,0,0
